date,feature_index,CO
2026-04-24T00:00:00.000Z,0,0.03225510746985674
2026-04-23T00:00:00.000Z,0,0.030060111908824183
2025-11-20T00:00:00.000Z,0,0.037080429009877874
2025-11-19T00:00:00.000Z,0,0.034173638706928806
2025-11-17T00:00:00.000Z,0,0.03566858321849236
2025-11-22T00:00:00.000Z,0,0.045513081218676546
2025-11-23T00:00:00.000Z,0,0.037457227110280655
2025-11-18T00:00:00.000Z,0,0.03505344981033551
2025-11-21T00:00:00.000Z,0,0.04300742596387863
2025-11-16T00:00:00.000Z,0,0.03190496529559376
2026-05-02T00:00:00.000Z,0,0.03193626388520846
2026-04-26T00:00:00.000Z,0,0.02980562722818418
2026-04-25T00:00:00.000Z,0,0.030290447448825707
2026-05-01T00:00:00.000Z,0,0.03307439458227443
2026-04-27T00:00:00.000Z,0,0.03125761615529914
2026-04-29T00:00:00.000Z,0,0.032299751456165725
2026-04-30T00:00:00.000Z,0,0.03384596567674734
2026-04-28T00:00:00.000Z,0,0.030997409220830895
2026-08-16T00:00:00.000Z,0,0.033649548255610014
2026-08-21T00:00:00.000Z,0,0.03268549791895426
2026-08-18T00:00:00.000Z,0,0.03300117601736866
2026-08-15T00:00:00.000Z,0,0.032459805366294135
2026-08-19T00:00:00.000Z,0,0.03259509715384671
2026-08-22T00:00:00.000Z,0,0.031204229868624523
2026-08-17T00:00:00.000Z,0,0.03456310660618803
2026-08-20T00:00:00.000Z,0,0.03083126037551539
2026-05-08T00:00:00.000Z,0,0.03358055161458723
2026-05-06T00:00:00.000Z,0,0.037745450312892594
2026-05-10T00:00:00.000Z,0,0.033324502795642495
2026-05-07T00:00:00.000Z,0,0.032352334506896015
2026-05-09T00:00:00.000Z,0,0.0330587826255295
2025-11-06T00:00:00.000Z,0,0.03489545172872557
2025-11-03T00:00:00.000Z,0,0.029604003417919925
2025-11-05T00:00:00.000Z,0,0.030646826739006854
2025-10-31T00:00:00.000Z,0,0.04067584650910549
2025-11-02T00:00:00.000Z,0,0.03749998661717682
2025-11-04T00:00:00.000Z,0,0.030124053506359542
2025-11-07T00:00:00.000Z,0,0.03354751923504998
2025-11-01T00:00:00.000Z,0,0.047069648992927635
2026-01-03T00:00:00.000Z,0,0.03713045885775521
2026-01-04T00:00:00.000Z,0,0.03839317157950704
2026-01-06T00:00:00.000Z,0,0.034688863128020955
2026-01-10T00:00:00.000Z,0,0.03701353541661784
2026-01-07T00:00:00.000Z,0,0.03432087976809429
2026-01-08T00:00:00.000Z,0,0.03467628962049882
2026-01-05T00:00:00.000Z,0,0.04157131793628256
2026-01-09T00:00:00.000Z,0,0.03236728156068055
2026-06-06T00:00:00.000Z,0,0.02874227395778396
2026-06-11T00:00:00.000Z,0,0.0307141070789003
2026-06-05T00:00:00.000Z,0,0.028183625645614697
2026-06-07T00:00:00.000Z,0,0.03021087481507233
2026-06-10T00:00:00.000Z,0,0.02915271241651025
2026-06-09T00:00:00.000Z,0,0.0294314363638416
2026-06-08T00:00:00.000Z,0,0.029310451361995477
2026-06-04T00:00:00.000Z,0,0.029448639109267472
2025-11-10T00:00:00.000Z,0,0.03191078240273609
2025-11-14T00:00:00.000Z,0,0.03080403964882821
2025-11-12T00:00:00.000Z,0,0.03126902475712761
2025-11-08T00:00:00.000Z,0,0.028914181703010446
2025-11-09T00:00:00.000Z,0,0.028348632122982633
2025-11-13T00:00:00.000Z,0,0.03110656596107196
2025-11-11T00:00:00.000Z,0,0.03441084717901854
2025-11-15T00:00:00.000Z,0,0.032571238678191665
2026-04-06T00:00:00.000Z,0,0.03210486277627448
2026-04-02T00:00:00.000Z,0,0.023773783621819394
2026-04-05T00:00:00.000Z,0,0.030148277081638933
2026-04-04T00:00:00.000Z,0,0.03155741613229801
2026-04-08T00:00:00.000Z,0,0.0371516535093111
